alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,b) 5 a 9 años,69
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,c) 10 a 14 años,50
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,d) 15 a 19 años,54
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,e) 20 a 24 años,57
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,f) 25 a 29 años,58
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,g) 30 a 34 años,58
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,h) 35 a 39 años,58
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,i) 40 a 44 años,42
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,j) 45 a 49 años,41
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,k) 50 a 54 años,40
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,l) 55 a 59 años,19
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,m) 60 a 64 años,24
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,n) 65 a 69 años,12
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,o) 70 a 74 años,4
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,p) 75 a 79 años,5
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,q) 80 a 84 años,2
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,r) 85 años y más,1
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,a) 0 a 4 años,20
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,b) 5 a 9 años,39
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,c) 10 a 14 años,43
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,d) 15 a 19 años,47
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,e) 20 a 24 años,36
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,f) 25 a 29 años,32
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,g) 30 a 34 años,35
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,h) 35 a 39 años,24
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,i) 40 a 44 años,33
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,j) 45 a 49 años,27
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,k) 50 a 54 años,28
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,l) 55 a 59 años,15
CUAJIMALPA DE MORELOS,Santa Rosa,Hombre,m) 60 a 64 años,11
